Background,Genotype,Stage,Replicate,O2,Iinc ,Ca,Ci,A,Phi2,VPDleaf,gs,E,Tleaf
YD,G,Flowering,1,21,1499.84,365.4,299.51,31.08,0.3155,0.98,0.5121,0.008,25.01
YD,G,Flowering,1,21,999.95,368.61,308.23,28.07,0.4074,0.95,0.5079,0.0077,25
YD,G,Flowering,1,21,500.13,376.29,326.38,20.73,0.5362,0.94,0.4642,0.0069,25
YD,G,Flowering,1,21,280.02,383.87,345.5,13.51,0.5997,0.95,0.4115,0.0062,25.01
YD,G,Flowering,1,21,149.98,390.18,362.68,7.65,0.6373,0.96,0.3525,0.0054,25.01
YD,G,Flowering,1,21,99.89,392.98,369.38,5.2,0.6585,0.99,0.2959,0.0047,25
YD,G,Flowering,1,21,79.88,394.23,371.05,4.22,0.6717,1.01,0.2486,0.004,25
YD,G,Flowering,1,21,49.88,396.27,377.09,2.53,0.6872,1.02,0.1974,0.0033,25
YD,G,Flowering,1,21,1000.04,368.98,303.61,27.84,0.418,0.98,0.463,0.0072,24.99
YD,G,Flowering,1,21,999.98,229.35,186.82,18.72,0.3823,0.97,0.4762,0.0074,24.98
YD,G,Flowering,1,21,1000.16,138.22,114.4,10.69,0.3334,0.97,0.4888,0.0075,24.99
YD,G,Flowering,1,21,999.84,75.42,66.13,4.17,0.2833,0.96,0.5083,0.0078,25
YD,G,Flowering,1,21,1000.09,48.77,45.98,1.1,0.2568,0.96,0.5329,0.0081,24.99
YD,G,Flowering,1,21,1000.06,370.99,312.97,25.63,0.3839,0.98,0.4862,0.0076,25.03
YD,G,Flowering,1,21,1000.08,370.29,303.51,26.66,0.3998,0.98,0.4333,0.0067,24.99
YD,G,Flowering,1,21,999.8,369.94,300.21,27.09,0.4069,0.98,0.4203,0.0066,24.99
YD,G,Flowering,1,21,1000.05,615.26,524.31,30.28,0.3928,1.01,0.3704,0.006,25.03
YD,G,Flowering,1,21,1000.04,967.45,844.74,27.59,0.3438,1.05,0.2568,0.0043,25.03
YD,G,Flowering,1,21,1000.01,1467.95,1321.85,25.62,0.3168,1.06,0.2094,0.0036,24.99
YD,G,Flowering,1,2,280.04,982.33,751.5,15.98,0.5305,1.05,0.074,0.0013,24.99
YD,G,Flowering,1,2,149.95,990.05,783.48,8.84,0.5653,1.05,0.0462,0.0008,25.02
YD,G,Flowering,1,2,100.11,993.32,799.51,5.89,0.5854,1.05,0.033,0.0006,25
YD,G,Flowering,1,2,80.09,994.5,845.74,4.67,0.6029,1.06,0.0351,0.0006,24.98
YD,G,Flowering,1,2,50.08,996.59,887.72,2.7,0.6267,1.06,0.0292,0.0005,24.96
YD,G,Flowering,2,21,0.02,400.76,437.79,-0.75,#DIV/0!,1.05,0.017,0.0003,25
YD,G,Flowering,2,21,2000,364.78,293.03,32.66,0.2485,0.98,0.4905,0.0077,25
YD,G,Flowering,2,21,1500.06,366.61,295.16,30.96,0.3107,0.98,0.4671,0.0073,25.01
YD,G,Flowering,2,21,1000.14,369.69,301.04,28.04,0.4071,0.96,0.4415,0.0068,25.01
YD,G,Flowering,2,21,500,377.36,319.74,20.55,0.5392,0.96,0.3932,0.006,25
YD,G,Flowering,2,21,280.02,384.79,338.45,13.43,0.597,0.97,0.3299,0.0051,25.01
YD,G,Flowering,2,21,149.84,391.09,352.83,7.58,0.6319,0.99,0.2349,0.0038,25
YD,G,Flowering,2,21,100,394.26,349.28,5.06,0.6515,1.02,0.1304,0.0022,25
YD,G,Flowering,2,21,80.24,395.88,334.19,3.81,0.6646,1.04,0.0686,0.0012,25.01
YD,G,Flowering,2,21,49.96,397.36,341.89,2.43,0.679,1.04,0.0495,0.0008,25
YD,G,Flowering,2,21,1000,370.53,292.5,27.48,0.4139,0.99,0.3776,0.006,25.01
YD,G,Flowering,2,21,999.96,230.5,180.15,18.34,0.3767,0.98,0.3893,0.0061,24.98
YD,G,Flowering,2,21,999.88,138.88,111.69,10.46,0.3311,0.97,0.4144,0.0065,24.98
YD,G,Flowering,2,21,1000.1,75.72,65.77,3.97,0.2804,0.96,0.448,0.0069,24.99
YD,G,Flowering,2,21,1000.07,48.93,46.06,1,0.2511,0.96,0.4683,0.0072,24.99
YD,G,Flowering,2,21,1000.06,372.77,298.82,25.21,0.379,1,0.3677,0.0059,25.04
YD,G,Flowering,2,21,1000.1,372.02,290.28,26.12,0.3956,0.99,0.3415,0.0054,24.98
YD,G,Flowering,2,21,1000.06,371.68,288.47,26.52,0.402,0.99,0.3402,0.0054,25
YD,G,Flowering,2,21,1000.03,616.98,512.11,30.06,0.3867,1.01,0.3141,0.0051,25.01
YD,G,Flowering,2,21,1000,969.4,844.39,26.78,0.3258,1.02,0.2434,0.004,25
YD,G,Flowering,2,21,1000,1470.32,1332.25,24.32,0.2926,1.03,0.2122,0.0036,25
YD,G,Flowering,2,2,280.01,982.23,748.64,16.49,0.534,1.04,0.0753,0.0013,25
YD,G,Flowering,2,2,150.09,990.31,771.35,8.87,0.5592,1.04,0.0435,0.0007,25
YD,G,Flowering,2,2,99.97,993.49,766.69,5.99,0.5772,1.05,0.0283,0.0005,25
YD,G,Flowering,2,2,79.91,994.72,827.99,4.73,0.593,1.04,0.0313,0.0005,24.97
YD,G,Flowering,2,2,50.17,997.11,865.03,2.43,0.5986,1.06,0.021,0.0004,24.97
YD,G,Flowering,3,21,0.02,400.56,418.17,-0.6,#DIV/0!,1.03,0.0247,0.0004,25
YD,G,Flowering,3,21,2000.04,361.93,294.36,32.55,0.2646,0.97,0.5208,0.0081,25
YD,G,Flowering,3,21,1500.07,363.82,294.55,31.03,0.3305,0.96,0.483,0.0074,25
YD,G,Flowering,3,21,1000.26,367.46,296.51,27.98,0.4244,0.96,0.4248,0.0065,25.01
YD,G,Flowering,3,21,499.97,376.81,310.4,19.75,0.5497,0.97,0.3234,0.005,25
YD,G,Flowering,3,21,279.89,385.82,321.03,12.03,0.6028,1,0.2036,0.0033,24.99
YD,G,Flowering,3,21,149.99,392.73,328.64,6.15,0.6313,1.02,0.1059,0.0018,25.01
YD,G,Flowering,3,21,99.86,395.24,332.12,4.08,0.65,1.03,0.0715,0.0012,24.99
YD,G,Flowering,3,21,80.08,395.82,339.63,3.57,0.6634,1.03,0.0713,0.0012,25
YD,G,Flowering,3,21,50.07,397.26,359.85,2.26,0.6769,1.04,0.0728,0.0012,25
YD,G,Flowering,3,21,999.81,368.07,296.2,27.47,0.4334,0.97,0.4117,0.0064,24.99
YD,G,Flowering,3,21,1000.01,228.99,181.73,18.23,0.3942,0.97,0.4135,0.0064,24.99
YD,G,Flowering,3,21,999.95,138.37,112.57,10.18,0.3441,0.96,0.4265,0.0066,25
YD,G,Flowering,3,21,999.92,75.59,65.9,3.84,0.2893,0.96,0.446,0.0068,24.99
YD,G,Flowering,3,21,1000.17,48.96,46.24,0.92,0.2574,0.96,0.4589,0.007,24.99
YD,G,Flowering,3,21,999.92,371.63,297.92,24.34,0.3923,0.99,0.3559,0.0057,25.02
YD,G,Flowering,3,21,999.92,370.98,286.7,25.19,0.4101,0.99,0.3186,0.005,24.98
YD,G,Flowering,3,21,1000.21,370.16,286.63,25.86,0.4188,0.98,0.33,0.0052,24.98
YD,G,Flowering,3,21,1000.17,614.86,514.5,29.51,0.4031,0.99,0.3227,0.0051,25
YD,G,Flowering,3,21,1000.17,965.67,855.32,27.36,0.3563,1,0.286,0.0046,25
YD,G,Flowering,3,21,1000.15,1466.31,1333.88,25.53,0.3276,1.01,0.2329,0.0038,25.02
YD,G,Flowering,3,2,280.25,982.53,728.72,15.09,0.5339,1.03,0.063,0.0011,24.99
YD,G,Flowering,3,2,150,990.62,761.19,7.94,0.5597,1.04,0.037,0.0006,25
YD,G,Flowering,3,2,99.87,994.15,787.78,4.81,0.5644,1.04,0.0251,0.0004,24.98
YD,G,Flowering,3,2,80.07,995.13,837.53,4.01,0.5944,1.04,0.0282,0.0005,24.98
YD,G,Flowering,3,2,50.05,997.02,891.76,2.25,0.6182,1.04,0.0252,0.0004,25
YD,G,Flowering,4,21,0.02,400.78,430.3,-0.71,#DIV/0!,1.05,0.0194,0.0003,25.01
YD,G,Flowering,4,21,2000.06,363.37,297.36,32.64,0.2634,0.96,0.5355,0.0082,25
YD,G,Flowering,4,21,1500.03,365.03,298.19,31.29,0.3304,0.95,0.506,0.0076,25.01
YD,G,Flowering,4,21,1000.19,368.55,303.36,28.05,0.4267,0.93,0.4659,0.0069,24.99
YD,G,Flowering,4,21,500.12,377.46,321.57,19.83,0.5438,0.93,0.3911,0.0058,25.01
YD,G,Flowering,4,21,279.99,385.35,337.16,12.56,0.6002,0.95,0.2943,0.0045,25.01
YD,G,Flowering,4,21,150.05,391.63,350.34,6.99,0.6365,0.97,0.197,0.0031,25
YD,G,Flowering,4,21,100.22,394.59,352.27,4.59,0.6589,1,0.1264,0.002,24.99
YD,G,Flowering,4,21,79.89,395.81,352.05,3.58,0.6732,1.02,0.0952,0.0016,25.01
YD,G,Flowering,4,21,49.87,397.21,362.51,2.26,0.6868,1.03,0.0798,0.0013,25
YD,G,Flowering,4,21,1000.11,370.19,295.72,26.82,0.4331,0.96,0.3868,0.006,25
YD,G,Flowering,4,21,999.99,230.79,182.65,17.48,0.3903,0.95,0.3887,0.0059,24.99
YD,G,Flowering,4,21,999.92,139.13,113.21,9.85,0.339,0.95,0.4106,0.0063,24.98
YD,G,Flowering,4,21,1000.17,75.8,66.12,3.8,0.2873,0.95,0.4418,0.0067,25
YD,G,Flowering,4,21,999.9,48.9,46.13,0.98,0.2582,0.94,0.4754,0.0071,24.98
YD,G,Flowering,4,21,1000.17,372.39,305.12,24.56,0.3933,0.97,0.3962,0.0062,25.04
YD,G,Flowering,4,21,999.91,371.89,293.1,25.39,0.4101,0.97,0.3449,0.0054,24.99
YD,G,Flowering,4,21,999.91,371.6,289.98,25.76,0.4155,0.97,0.3369,0.0052,25
YD,G,Flowering,4,21,999.87,616.06,515.15,29.76,0.4072,0.98,0.3235,0.0051,25
YD,G,Flowering,4,21,999.86,966.25,845.41,28.34,0.3682,1,0.2666,0.0043,25.01
YD,G,Flowering,4,21,999.86,1466.83,1315.81,26.83,0.343,1.01,0.2092,0.0034,25.01
YD,G,Flowering,4,2,280.04,983.08,706.3,15.34,0.5439,1.03,0.0584,0.001,24.99
YD,G,Flowering,4,2,150.04,990.75,728.56,8.25,0.5686,1.05,0.0333,0.0006,25.01
YD,G,Flowering,4,2,100.18,993.53,776.69,5.76,0.5923,1.04,0.0286,0.0005,24.99
YD,G,Flowering,4,2,80.1,994.94,803.2,4.36,0.6011,1.05,0.0247,0.0004,24.98
YD,G,Flowering,4,2,50.09,996.8,856.64,2.66,0.6267,1.04,0.0213,0.0004,25
WYJ,C,Flowering,1,21,0.02,400.43,425.67,-0.48,#DIV/0!,1.11,0.0146,0.0003,24.99
WYJ,C,Flowering,1,21,1999.97,370.72,281.61,30.84,0.269,1.04,0.3686,0.0061,25
WYJ,C,Flowering,1,21,1499.96,371.76,285.49,29.69,0.3374,1.02,0.367,0.006,25.01
WYJ,C,Flowering,1,21,999.86,374.06,292.22,27.17,0.4348,0.99,0.355,0.0056,25.01
WYJ,C,Flowering,1,21,500.01,380.45,308.1,20.29,0.5718,0.98,0.303,0.0048,25
WYJ,C,Flowering,1,21,280.11,387.14,325.74,13.17,0.6401,0.99,0.2365,0.0038,25.02
WYJ,C,Flowering,1,21,150.1,392.52,340.79,7.54,0.6752,1.01,0.1648,0.0027,25
WYJ,C,Flowering,1,21,100.01,395.14,337.83,4.93,0.6934,1.03,0.0963,0.0016,25.01
WYJ,C,Flowering,1,21,80.01,396.46,329.75,3.72,0.7042,1.03,0.0614,0.001,25
WYJ,C,Flowering,1,21,50.09,397.82,350.92,2.2,0.7182,1.04,0.0542,0.0009,25
WYJ,C,Flowering,1,21,999.93,374.6,293.87,26.53,0.4382,1.01,0.3522,0.0057,25.01
WYJ,C,Flowering,1,21,999.84,233.63,181.05,17.28,0.4011,1,0.3509,0.0056,25
WYJ,C,Flowering,1,21,999.81,140.88,112.07,9.73,0.3537,1,0.3631,0.0058,24.99
WYJ,C,Flowering,1,21,1000.01,76.53,65.64,3.71,0.3006,1,0.3796,0.0061,24.99
WYJ,C,Flowering,1,21,1000,49.22,46.22,0.87,0.2731,1,0.3872,0.0062,24.99
WYJ,C,Flowering,1,21,999.98,377.52,296.89,23.38,0.3974,1.03,0.3114,0.0051,25.02
WYJ,C,Flowering,1,21,999.98,377.55,274.42,23.83,0.4117,1.03,0.2439,0.004,25.01
WYJ,C,Flowering,1,21,1000.02,377.63,271.03,23.8,0.421,1.03,0.2351,0.0039,24.99
WYJ,C,Flowering,1,21,999.95,621.24,481.16,30.03,0.4244,1.04,0.2295,0.0038,25.02
WYJ,C,Flowering,1,21,999.93,971.08,810.75,29.11,0.3872,1.05,0.2004,0.0034,25.01
WYJ,C,Flowering,1,21,999.91,1471.24,1273.77,27.9,0.3643,1.06,0.1603,0.0027,25.02
WYJ,C,Flowering,1,2,280.17,984.49,747.04,16.13,0.5646,1.04,0.0724,0.0012,25
WYJ,C,Flowering,1,2,150.09,991.38,757.23,8.82,0.599,1.05,0.0402,0.0007,25
WYJ,C,Flowering,1,2,100.02,994.26,775.6,5.79,0.623,1.04,0.0284,0.0005,25
WYJ,C,Flowering,1,2,80,995.01,827.23,4.93,0.6438,1.04,0.0324,0.0005,25.01
WYJ,C,Flowering,1,2,50.01,997.18,868.26,2.68,0.6627,1.04,0.0237,0.0004,24.99
WYJ,C,Flowering,2,21,0.02,400.69,430.24,-0.75,#DIV/0!,1.04,0.0205,0.0003,25
WYJ,C,Flowering,2,21,1999.91,368,298.68,32.43,0.2528,0.98,0.5061,0.0079,24.99
WYJ,C,Flowering,2,21,1500.01,369.74,300.65,30.69,0.3164,0.96,0.4799,0.0073,25
WYJ,C,Flowering,2,21,1000.14,372.92,307.17,27.35,0.4083,0.93,0.4507,0.0067,25
WYJ,C,Flowering,2,21,500.16,380.14,324.36,19.83,0.5294,0.92,0.3919,0.0058,25.02
WYJ,C,Flowering,2,21,280.01,386.81,339.07,12.87,0.5952,0.93,0.3045,0.0046,25.03
WYJ,C,Flowering,2,21,149.99,392.62,350.54,7.06,0.6391,0.97,0.1948,0.003,25.01
WYJ,C,Flowering,2,21,99.91,395.39,340.31,4.61,0.664,1.01,0.094,0.0015,25.02
WYJ,C,Flowering,2,21,79.88,396.48,336.95,3.6,0.6777,1.03,0.0674,0.0011,24.99
WYJ,C,Flowering,2,21,49.92,397.63,355.54,2.26,0.6934,1.03,0.0632,0.0011,24.99
WYJ,C,Flowering,2,21,1000.16,373.12,307.88,27.14,0.4192,0.95,0.4518,0.0069,24.98
WYJ,C,Flowering,2,21,1000.02,232.24,189.59,18.1,0.3814,0.95,0.4586,0.0069,25
WYJ,C,Flowering,2,21,999.94,139.92,116.08,10.29,0.3297,0.94,0.4698,0.0071,25
WYJ,C,Flowering,2,21,1000.12,76.15,66.98,3.93,0.2774,0.94,0.4856,0.0073,24.99
WYJ,C,Flowering,2,21,1000.07,49.02,46.33,0.98,0.2476,0.94,0.4961,0.0075,24.99
WYJ,C,Flowering,2,21,1000.04,375.19,309.42,25.05,0.3851,0.96,0.4141,0.0064,25.01
WYJ,C,Flowering,2,21,1000.02,374.03,303.64,26.35,0.4011,0.96,0.4042,0.0062,24.99
WYJ,C,Flowering,2,21,1000.02,373.81,301.08,26.6,0.4068,0.96,0.3939,0.0061,25
WYJ,C,Flowering,2,21,999.98,619.69,529.33,29.82,0.3961,0.97,0.3664,0.0057,25.02
WYJ,C,Flowering,2,21,999.93,969.43,861.05,28.74,0.3558,1,0.307,0.005,25.04
WYJ,C,Flowering,2,21,999.96,1470.42,1354.56,25.65,0.3242,1.01,0.2761,0.0045,24.99
WYJ,C,Flowering,2,2,280.05,984.56,794.73,15.35,0.5318,1.04,0.0878,0.0015,25
WYJ,C,Flowering,2,2,149.95,991.24,811.4,8.62,0.5702,1.04,0.0524,0.0009,25.01
WYJ,C,Flowering,2,2,99.9,994.01,809.79,5.8,0.592,1.04,0.0343,0.0006,25
WYJ,C,Flowering,2,2,79.85,995.07,831.88,4.8,0.6135,1.05,0.0325,0.0006,24.98
WYJ,C,Flowering,2,2,49.9,997.11,862.64,2.65,0.6313,1.05,0.0223,0.0004,25.01
WYJ,C,Flowering,3,21,0.02,400.47,423.6,-0.52,#DIV/0!,1.06,0.0173,0.0003,25
WYJ,C,Flowering,3,21,1999.87,371.23,286.18,30.7,0.258,1.03,0.3856,0.0064,25
WYJ,C,Flowering,3,21,1500.18,372.8,287.02,29.01,0.3201,1.01,0.3607,0.0059,25.01
WYJ,C,Flowering,3,21,1000.15,375.95,291.91,25.68,0.4113,0.98,0.3262,0.0052,25.01
WYJ,C,Flowering,3,21,499.97,382.86,305.78,18.25,0.5273,0.98,0.2548,0.004,25.01
WYJ,C,Flowering,3,21,279.83,389.46,309.33,11.3,0.5926,1,0.1518,0.0025,25
WYJ,C,Flowering,3,21,150.04,394.52,289.5,5.99,0.6394,1.03,0.0604,0.001,25.01
WYJ,C,Flowering,3,21,99.98,396.4,313.22,3.92,0.6685,1.04,0.0508,0.0009,24.97
WYJ,C,Flowering,3,21,79.94,396.87,322.55,3.38,0.6834,1.05,0.0495,0.0008,25.02
WYJ,C,Flowering,3,21,49.97,397.78,348,2.31,0.6988,1.04,0.0531,0.0009,24.99
WYJ,C,Flowering,3,21,999.94,375.69,296.8,25.87,0.4158,0.99,0.3518,0.0056,25.01
WYJ,C,Flowering,3,21,1000.13,233.96,182.87,17.17,0.3828,0.99,0.3593,0.0057,24.99
WYJ,C,Flowering,3,21,1000.02,140.94,112.81,9.82,0.3368,0.98,0.376,0.006,25
WYJ,C,Flowering,3,21,999.99,76.58,66.22,3.7,0.287,0.98,0.4003,0.0063,24.99
WYJ,C,Flowering,3,21,999.99,49.21,46.31,0.89,0.2595,0.97,0.4118,0.0064,25
WYJ,C,Flowering,3,21,999.92,377.53,307.67,23.61,0.3757,0.99,0.3666,0.0058,25.02
WYJ,C,Flowering,3,21,999.9,377.67,287.82,23.93,0.3939,1.01,0.2834,0.0046,25.02
WYJ,C,Flowering,3,21,999.94,377.5,281.9,24.28,0.4041,1.01,0.2691,0.0044,24.99
WYJ,C,Flowering,3,21,1000.16,622.07,493.23,29.43,0.4033,1.02,0.246,0.0041,25
WYJ,C,Flowering,3,21,999.89,972.19,820.93,28.29,0.3638,1.03,0.2076,0.0035,25.02
WYJ,C,Flowering,3,21,999.89,1472.26,1299.68,26.88,0.3321,1.04,0.1801,0.003,24.99
WYJ,C,Flowering,3,2,280.13,985.32,730.27,15.55,0.5317,1.04,0.0646,0.0011,24.99
WYJ,C,Flowering,3,2,150.01,991.65,772.69,8.66,0.5733,1.05,0.0425,0.0007,25
WYJ,C,Flowering,3,2,99.93,994.32,796.31,5.81,0.5941,1.05,0.0318,0.0005,24.99
WYJ,C,Flowering,3,2,80.17,995.24,841.03,4.72,0.6133,1.05,0.034,0.0006,24.99
WYJ,C,Flowering,3,2,50.17,996.87,858.31,3.03,0.636,1.06,0.0247,0.0004,24.99
WYJ,C,Flowering,4,21,0.02,400.57,429.22,-0.64,#DIV/0!,1.03,0.018,0.0003,25
WYJ,C,Flowering,4,21,2000.09,368.78,287.89,32.1,0.2728,0.99,0.4242,0.0067,25
WYJ,C,Flowering,4,21,1500.03,369.99,286.64,30.95,0.3435,0.98,0.3956,0.0062,25.01
WYJ,C,Flowering,4,21,1000.14,372.74,288.38,28.19,0.4453,0.96,0.3557,0.0055,25
WYJ,C,Flowering,4,21,499.99,380.13,306.13,20.31,0.5744,0.96,0.2956,0.0046,25.01
WYJ,C,Flowering,4,21,279.81,387.36,324.25,12.72,0.6291,0.98,0.2212,0.0035,25.02
WYJ,C,Flowering,4,21,150.09,393.01,339.4,6.92,0.6588,0.99,0.1448,0.0023,25
WYJ,C,Flowering,4,21,99.94,395.31,345.78,4.57,0.6781,1,0.105,0.0017,25
WYJ,C,Flowering,4,21,80.16,395.97,357.73,3.84,0.6914,1,0.1195,0.0019,24.98
WYJ,C,Flowering,4,21,49.87,397.05,375.3,2.44,0.7055,1,0.1571,0.0025,24.99
WYJ,C,Flowering,4,21,999.97,372.28,299.28,28.36,0.4473,0.98,0.4184,0.0065,25
WYJ,C,Flowering,4,21,999.88,231.76,183.53,18.76,0.4076,0.97,0.4168,0.0065,25
WYJ,C,Flowering,4,21,999.79,139.85,113.45,10.44,0.3521,0.97,0.4271,0.0066,24.99
WYJ,C,Flowering,4,21,1000.02,76.21,66.17,3.9,0.2956,0.97,0.4362,0.0067,24.99
WYJ,C,Flowering,4,21,999.98,49.01,45.73,1.12,0.2635,0.97,0.4395,0.0068,25
WYJ,C,Flowering,4,21,1000,374.93,294.69,25.73,0.4147,0.99,0.3433,0.0054,25.02
WYJ,C,Flowering,4,21,1000,374.37,286.37,26.45,0.4275,0.99,0.3195,0.0051,25
WYJ,C,Flowering,4,21,1000,374.24,285.02,26.63,0.4344,0.99,0.317,0.005,24.99
WYJ,C,Flowering,4,21,1000.23,618.49,504.12,31.83,0.4355,1,0.302,0.0048,25
WYJ,C,Flowering,4,21,999.94,967.52,841.31,31.35,0.405,1,0.2806,0.0045,25
WYJ,C,Flowering,4,21,999.94,1467.09,1326.93,29.98,0.3825,1.01,0.255,0.0041,25
WYJ,C,Flowering,4,2,280.1,984.35,674.84,16.29,0.5614,1.03,0.0551,0.0009,24.98
WYJ,C,Flowering,4,2,150.05,991.51,752,8.65,0.5926,1.03,0.0384,0.0006,25
WYJ,C,Flowering,4,2,99.93,994.03,821.99,5.87,0.6196,1.03,0.0374,0.0006,24.99
WYJ,C,Flowering,4,2,79.86,995.09,860.34,4.66,0.6384,1.03,0.039,0.0007,24.98
WYJ,C,Flowering,4,2,50.09,997.12,902.13,2.56,0.662,1.03,0.0324,0.0005,24.99
WYJ,G,Flowering,1,21,0.02,400.88,447.75,-0.9,#DIV/0!,1.04,0.0167,0.0003,24.98
WYJ,G,Flowering,1,21,2000,369.43,292.56,31.53,0.2957,1.01,0.4405,0.007,24.99
WYJ,G,Flowering,1,21,1499.98,371.43,293.61,29.54,0.3599,0.99,0.4069,0.0064,25
WYJ,G,Flowering,1,21,1000,374.64,299.48,26.09,0.4433,0.97,0.373,0.0058,25.01
WYJ,G,Flowering,1,21,499.99,381.8,317.4,18.5,0.5505,0.97,0.3134,0.0048,25.01
WYJ,G,Flowering,1,21,280.05,388.02,334.37,11.96,0.6072,0.97,0.249,0.0039,25
WYJ,G,Flowering,1,21,150.1,392.98,347.66,6.88,0.6448,0.99,0.1744,0.0028,25.02
WYJ,G,Flowering,1,21,99.96,395.32,355.21,4.5,0.6682,1,0.132,0.0021,24.99
WYJ,G,Flowering,1,21,79.92,396.04,361.33,3.71,0.6822,1,0.1296,0.0021,24.98
WYJ,G,Flowering,1,21,50.18,397.3,372.87,2.37,0.7,1.01,0.1308,0.0021,25
WYJ,G,Flowering,1,21,1000,374.66,298.84,26.14,0.4507,0.98,0.3704,0.0058,24.99
WYJ,G,Flowering,1,21,999.92,233.33,182.35,17.37,0.422,0.98,0.3637,0.0057,25.01
WYJ,G,Flowering,1,21,1000.15,140.59,112.74,9.88,0.382,0.98,0.3818,0.0059,24.99
WYJ,G,Flowering,1,21,1000.11,76.41,65.68,3.84,0.3349,0.97,0.3991,0.0062,24.99
WYJ,G,Flowering,1,21,999.74,49.13,46.07,0.97,0.3053,0.97,0.416,0.0064,25.01
WYJ,G,Flowering,1,21,999.99,377.17,292.75,23.67,0.422,1.01,0.2995,0.0048,25.02
WYJ,G,Flowering,1,21,1000.02,376.69,284.86,24.38,0.4286,1,0.2817,0.0045,24.99
WYJ,G,Flowering,1,21,1000.02,376.13,285.33,24.87,0.4373,1,0.2908,0.0046,25
WYJ,G,Flowering,1,21,1000,620.08,503.45,30.48,0.446,1,0.2832,0.0045,25.01
WYJ,G,Flowering,1,21,1000,968.91,835.61,30.44,0.4203,1.01,0.2564,0.0041,25
WYJ,G,Flowering,1,21,1000,1468.37,1323.23,29.08,0.4013,1.01,0.2373,0.0038,24.99
WYJ,G,Flowering,1,2,280.08,984.21,801.96,15.96,0.5584,1.03,0.0953,0.0016,25.02
WYJ,G,Flowering,1,2,150.09,991.34,819.36,8.63,0.5903,1.03,0.055,0.0009,25
WYJ,G,Flowering,1,2,99.96,994.17,824.71,5.67,0.6105,1.04,0.0368,0.0006,25
WYJ,G,Flowering,1,2,79.93,995.13,856.26,4.61,0.6279,1.04,0.0374,0.0006,24.99
WYJ,G,Flowering,1,2,49.93,996.93,909.8,2.65,0.6519,1.04,0.0373,0.0006,24.99
WYJ,G,Flowering,2,21,0.02,400.37,413.22,-0.36,#DIV/0!,1.05,0.018,0.0003,25
WYJ,G,Flowering,2,21,1999.95,366.67,292.74,30.56,0.2785,0.99,0.4447,0.007,24.99
WYJ,G,Flowering,2,21,1500.05,368.42,298.59,28.95,0.3422,0.97,0.4475,0.0069,25.01
WYJ,G,Flowering,2,21,999.9,371.46,306.4,25.94,0.4301,0.95,0.433,0.0066,25.01
WYJ,G,Flowering,2,21,500,378.99,327.03,18.72,0.5429,0.93,0.4005,0.0059,25
WYJ,G,Flowering,2,21,279.98,385.76,345.52,12.26,0.6034,0.93,0.3524,0.0052,25
WYJ,G,Flowering,2,21,150.09,391.29,360.88,7.11,0.6452,0.94,0.2876,0.0044,25
WYJ,G,Flowering,2,21,99.98,393.88,366.06,4.82,0.6693,0.97,0.2205,0.0035,25.02
WYJ,G,Flowering,2,21,79.96,395.04,364.87,4.03,0.685,0.99,0.1672,0.0027,24.99
WYJ,G,Flowering,2,21,50.22,396.9,373.09,2.39,0.7034,1.01,0.1361,0.0022,24.99
WYJ,G,Flowering,2,21,1000.04,371.13,306.25,26.27,0.4494,0.95,0.4397,0.0067,24.99
WYJ,G,Flowering,2,21,1000.22,230.2,185.61,18.28,0.422,0.95,0.441,0.0067,25
WYJ,G,Flowering,2,21,999.88,138.69,113.22,10.5,0.3832,0.94,0.4452,0.0067,24.98
WYJ,G,Flowering,2,21,999.83,75.71,66.07,3.95,0.3316,0.94,0.4602,0.0069,24.98
WYJ,G,Flowering,2,21,1000.04,48.9,46.11,1,0.2967,0.94,0.4784,0.0071,24.99
WYJ,G,Flowering,2,21,1000,373.38,312.18,24.03,0.419,0.96,0.4295,0.0066,25.03
WYJ,G,Flowering,2,21,1000.02,372.15,298.79,25.56,0.4319,0.96,0.3748,0.0058,24.99
WYJ,G,Flowering,2,21,1000.01,371.58,296.83,26.1,0.4415,0.96,0.3749,0.0058,25
WYJ,G,Flowering,2,21,999.95,617.8,527.79,28.56,0.4251,0.97,0.3522,0.0055,25.01
WYJ,G,Flowering,2,21,1000.2,967.88,870.19,26.7,0.3773,0.98,0.3207,0.005,25.01
WYJ,G,Flowering,2,21,999.88,1468.51,1369.39,23.68,0.3413,0.98,0.3084,0.0049,24.99
WYJ,G,Flowering,2,2,280.24,981.32,873.98,15.64,0.5612,0.99,0.1692,0.0027,25
WYJ,G,Flowering,2,2,150.04,989.08,900.04,8.81,0.5949,1,0.1195,0.0019,25.01
WYJ,G,Flowering,2,2,99.96,992.65,906.66,5.73,0.6165,1.02,0.0815,0.0013,25
WYJ,G,Flowering,2,2,80.16,994.46,863.05,4.73,0.6298,1.04,0.0408,0.0007,24.99
WYJ,G,Flowering,2,2,50.16,996.72,858.88,2.8,0.6514,1.04,0.0229,0.0004,24.99
WYJ,G,Flowering,3,21,0.02,400.46,417.07,-0.48,#DIV/0!,1.03,0.0205,0.0003,25
WYJ,G,Flowering,3,21,2000.16,368.49,290.68,29.99,0.2871,1.02,0.4137,0.0067,24.99
WYJ,G,Flowering,3,21,1500.24,370.42,293.4,28.2,0.3504,1,0.3932,0.0063,25.02
