location,plot,treeID,canopy,rep,leaf,test,species,E,A,Ca,Ci,Pci,Pca,gsw,TleafEB,RHcham,Qin,Qabs,S,CO2_s,CO2_r,H2O_s,H2O_r,Flow,date_licor,date_collected,DBH,Height,Size_Class,concat
AK,1,A,high,2,1,kok,pigl,0.00054915,4.715633702,393.3639935,181.9044569,16.87637826,36.49476028,0.03709259,24.89642175,60.03431593,1000.11,843.0918002,6.768,393.364,400.039,19.4751,18.7463,500.036,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000530375,4.341475507,393.8629941,198.5400185,18.4200694,36.54166923,0.037066823,24.65017641,60.21333694,800.036,674.4287282,6.768,393.863,400.022,19.4626,18.7587,500.031,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000556541,2.565508648,396.2399965,289.7540552,26.88339834,36.76317025,0.041689817,24.14542342,60.37973381,399.996,337.1954282,6.768,396.24,400.011,19.3802,18.6415,500.023,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000528389,0.756355323,398.691999,360.9495506,33.48998396,36.99184173,0.040834323,23.85773392,60.27217796,199.815,168.4431152,6.768,398.692,400.001,19.2248,18.5233,499.984,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000515647,0.234321984,399.4679997,382.093335,35.45089205,37.06292583,0.040391386,23.7400291,60.36870913,150.028,126.4723142,6.768,399.468,400.064,19.1712,18.4866,499.999,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000494815,-0.669599237,400.6440009,419.8851972,38.95727174,37.17205874,0.039039656,23.62422159,60.23376683,99.9581,84.26389852,6.768,400.644,400.006,19.0441,18.3871,500.02,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000497687,-0.809679298,400.8170011,425.3503936,39.46524431,37.18896493,0.039644795,23.53956074,60.36086198,89.9883,75.858997,6.768,400.817,399.991,18.9985,18.3376,499.978,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000529703,-1.095380027,401.2140015,434.3878412,40.30385615,37.22588404,0.042440597,23.48195359,60.34867968,79.9981,67.43719854,6.768,401.214,400.019,18.949,18.2456,500.014,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000492487,-1.184594515,401.3310016,441.4624898,40.96056762,37.23701563,0.039196425,23.46629222,60.10451508,75.0274,63.24680845,6.768,401.331,399.995,18.849,18.1949,499.973,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000480721,-1.31677201,401.5280018,448.2269041,41.58870685,37.25575196,0.03834903,23.4453059,60.1493331,70.021,59.02614319,6.768,401.528,400.007,18.841,18.2026,500.035,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000473567,-1.428503171,401.716002,453.7815719,42.10434877,37.27341897,0.037899884,23.42315975,60.2174566,65.0283,54.81726715,6.768,401.716,400.04,18.8404,18.2115,500.034,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000467012,-1.592173092,401.8800022,461.5642469,42.82639189,37.28856943,0.037499152,23.40042996,60.28665306,60.0058,50.58308943,6.768,401.88,399.979,18.8398,18.2196,500.031,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000482833,-1.730134543,402.0940024,465.5855188,43.20064017,37.3094042,0.038555182,23.37003015,59.94483971,55.0183,46.37856717,6.768,402.094,400.015,18.7081,18.0668,500.028,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000460196,-1.829765056,402.2420025,473.2353128,43.9102506,37.32296947,0.036912674,23.3469152,60.09147569,50.0118,42.15781753,6.768,402.242,400.016,18.7267,18.1155,500.046,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000454605,-1.977505667,402.4200027,480.4879889,44.58381886,37.33999792,0.036627218,23.31655216,60.18481956,44.9894,37.92489442,6.768,402.42,399.991,18.725,18.1212,500.025,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000447576,-2.088438359,402.6160028,486.6481876,45.15739563,37.35982295,0.036181691,23.29205647,60.25015935,39.9819,33.70330184,6.768,402.616,400.033,18.7202,18.1257,499.998,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000451328,-2.268861415,402.8320031,493.9561309,45.83573102,37.38003881,0.036494245,23.26802483,60.17622548,34.9849,29.49080112,6.768,402.832,400.007,18.6765,18.077,500.006,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000432495,-2.391372115,403.0080033,503.9422219,46.76256962,37.39652879,0.034991836,23.248764,60.17147451,30.0013,25.28956655,6.768,403.008,400.007,18.6532,18.0787,500.005,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000449936,-2.534329687,403.2140035,505.7393324,46.92994126,37.41613176,0.036570058,23.21525895,60.21602847,25.0194,21.09009444,6.768,403.214,400.029,18.6394,18.0417,499.984,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
