TreeID,USDA_Code,Common Name,Genus,Species,Lat,Long,DBH_1,DBH_2
117,BEAL2,Yellow Birch,Betula,alleghaniensis,41.41148,-74.00887,15,NA
142,QUAL,White Oak,Quercus,alba,41.40623,-74.01331,36.6,NA
143,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40602,-74.01349,40.1,NA
144,QUAL,White Oak,Quercus,alba,41.40588,-74.01369,63.7,NA
145,QURU,Red Oak,Quercus,rubra,41.40588,-74.01414,47.3,NA
146,ACRU,Red Maple,Acer,rubrum,41.40594,-74.01331,12.4,NA
147,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40692,-74.01327,32,NA
153,ACRU,Red Maple,Acer,rubrum,41.40885,-74.01318,8.7,NA
154,ACRU,Red Maple,Acer,rubrum,41.40871,-74.01323,21.3,NA
155,QURU,Red Oak,Quercus,rubra,41.40849,-74.01352,35.7,NA
156,QUAL,White Oak,Quercus,alba,41.4076,-74.01355,38.9,NA
157,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40715,-74.01341,33.9,NA
165,QUAL,White Oak,Quercus,alba,41.40739,-74.01364,49.2,NA
166,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40659,-74.01332,25.5,NA
