Experiment,Genotype,Treatment,Replicate,O2 (%),Iinc (mmol/m2/s),Ca (ppm),Ci (ppm),A (mmol/m2/s),F2 (mol/mol),Tleaf (℃),VPDL (kPa),gs (mol/m2/s),Tr (mol/m2/s)
EXP2019,Thésée,Well-water,4,2,39.9,995.2650,953.9554,2.2160,0.6574,15.0,1.0,0.1408,0.0014
EXP2019,Thésée,Well-water,1,21,2000.2,369.0820,267.0442,23.2394,0.2010,20.0,1.2,0.4110,0.0038
EXP2019,Thésée,Well-water,1,21,1500.1,370.6920,272.9374,22.0021,0.2482,20.0,1.2,0.4069,0.0037
EXP2019,Thésée,Well-water,1,21,1000.0,373.4810,283.7178,19.7312,0.3244,20.0,1.2,0.3997,0.0037
EXP2019,Thésée,Well-water,1,21,499.9,379.0420,304.3495,15.3398,0.4570,20.0,1.2,0.3777,0.0035
EXP2019,Thésée,Well-water,1,21,200.0,388.2030,341.0808,8.2282,0.5527,20.0,1.2,0.3377,0.0032
EXP2019,Thésée,Well-water,1,21,149.9,390.7790,344.2821,6.4488,0.5759,20.0,1.2,0.2660,0.0025
EXP2019,Thésée,Well-water,1,21,119.9,392.7610,341.0976,5.1632,0.5914,20.0,1.2,0.1863,0.0018
EXP2019,Thésée,Well-water,1,21,90.2,394.7400,337.0701,3.8986,0.6073,20.0,1.2,0.1231,0.0012
EXP2019,Thésée,Well-water,1,21,60.1,396.5130,340.1989,2.5873,0.6243,20.0,1.2,0.0833,0.0008
EXP2019,Thésée,Well-water,1,21,40.2,397.9520,347.2887,1.6286,0.6389,20.0,1.2,0.0589,0.0006
EXP2019,Thésée,Well-water,1,21,999.9,374.6790,274.4732,19.0165,0.3196,20.0,1.2,0.3391,0.0032
EXP2019,Thésée,Well-water,1,21,999.8,186.6030,132.5588,10.2312,0.2769,20.0,1.2,0.3365,0.0031
EXP2019,Thésée,Well-water,1,21,1000.0,94.4220,70.8425,4.3893,0.2394,20.0,1.2,0.3338,0.0031
EXP2019,Thésée,Well-water,1,21,1000.0,48.6681,41.8266,1.2007,0.2160,20.0,1.2,0.3319,0.0031
EXP2019,Thésée,Well-water,1,21,1000.0,376.0350,278.8195,17.9651,0.3039,20.0,1.2,0.3305,0.0031
EXP2019,Thésée,Well-water,1,21,1000.0,375.1800,272.7866,18.7155,0.3117,20.0,1.2,0.3256,0.0031
EXP2019,Thésée,Well-water,1,21,1000.0,374.8190,269.5302,19.0240,0.3149,20.0,1.2,0.3209,0.0030
EXP2019,Thésée,Well-water,1,21,1000.0,618.0360,484.7868,23.5296,0.3191,20.0,1.2,0.3194,0.0030
EXP2019,Thésée,Well-water,1,21,999.9,965.1410,816.5133,24.7011,0.3106,20.0,1.2,0.3097,0.0029
EXP2019,Thésée,Well-water,1,21,1000.2,1462.5600,1290.0884,25.5506,0.3067,20.0,1.2,0.2854,0.0027
EXP2019,Thésée,Well-water,1,2,200.0,985.0210,793.1128,10.8328,0.5392,20.0,1.2,0.0993,0.0010
EXP2019,Thésée,Well-water,1,2,150.0,988.4330,786.8740,8.4468,0.5575,20.0,1.2,0.0731,0.0007
EXP2019,Thésée,Well-water,1,2,120.3,990.6160,799.2679,6.7842,0.5718,20.0,1.2,0.0620,0.0006
EXP2019,Thésée,Well-water,1,2,90.2,993.1360,820.6041,4.9213,0.5871,20.0,1.2,0.0503,0.0005
EXP2019,Thésée,Well-water,1,2,60.1,995.3980,845.5402,3.2081,0.6035,20.0,1.2,0.0382,0.0004
EXP2019,Thésée,Well-water,1,2,39.9,997.1740,880.7983,1.8659,0.6179,20.0,1.2,0.0296,0.0003
EXP2019,Thésée,Well-water,2,21,2000.1,369.9320,287.7934,24.7393,0.2023,20.0,1.2,0.5618,0.0050
EXP2019,Thésée,Well-water,2,21,1500.1,371.3620,294.1053,23.4572,0.2545,20.0,1.2,0.5700,0.0051
EXP2019,Thésée,Well-water,2,21,1000.0,373.8370,303.3127,21.2503,0.3324,20.0,1.2,0.5702,0.0051
EXP2019,Thésée,Well-water,2,21,500.0,379.4030,322.5213,16.3538,0.4583,20.0,1.2,0.5562,0.0050
EXP2019,Thésée,Well-water,2,21,200.2,387.9110,352.3755,8.9447,0.5598,20.0,1.2,0.5238,0.0048
EXP2019,Thésée,Well-water,2,21,150.1,390.1800,358.8698,7.0742,0.5834,20.0,1.2,0.4817,0.0044
EXP2019,Thésée,Well-water,2,21,119.9,391.8890,363.4151,5.7115,0.5991,20.0,1.2,0.4367,0.0041
EXP2019,Thésée,Well-water,2,21,90.1,393.6310,369.2002,4.2790,0.6143,20.0,1.2,0.3971,0.0037
EXP2019,Thésée,Well-water,2,21,60.1,395.5810,376.3948,2.7234,0.6309,20.0,1.2,0.3540,0.0033
EXP2019,Thésée,Well-water,2,21,39.9,397.0060,380.6115,1.7269,0.6447,20.0,1.2,0.2844,0.0027
EXP2019,Thésée,Well-water,2,21,1000.1,374.9900,296.3039,20.4976,0.3346,20.0,1.2,0.4821,0.0044
EXP2019,Thésée,Well-water,2,21,999.8,186.5410,144.8437,11.2487,0.2855,20.0,1.2,0.4979,0.0045
EXP2019,Thésée,Well-water,2,21,1000.1,94.5693,77.6167,4.5956,0.2345,20.0,1.2,0.5109,0.0046
EXP2019,Thésée,Well-water,2,21,999.9,48.6982,43.9571,1.1946,0.2041,20.0,1.2,0.5163,0.0046
EXP2019,Thésée,Well-water,2,21,1000.1,376.6800,308.6903,18.8915,0.3076,20.0,1.2,0.5247,0.0048
EXP2019,Thésée,Well-water,2,21,999.9,375.0150,302.5353,20.3443,0.3234,20.0,1.2,0.5266,0.0047
EXP2019,Thésée,Well-water,2,21,999.8,374.4430,301.2661,20.8580,0.3318,20.0,1.2,0.5348,0.0048
EXP2019,Thésée,Well-water,2,21,1000.2,619.3520,532.8894,24.0676,0.3270,20.0,1.2,0.5417,0.0049
EXP2019,Thésée,Well-water,2,21,999.9,967.1930,875.4936,24.0398,0.3123,20.0,1.2,0.5422,0.0049
EXP2019,Thésée,Well-water,2,21,999.9,1464.2200,1360.5686,24.4001,0.3088,20.0,1.2,0.5208,0.0047
EXP2019,Thésée,Well-water,2,2,199.9,984.3020,907.9505,10.9259,0.5351,20.0,1.2,0.2995,0.0028
EXP2019,Thésée,Well-water,2,2,149.9,987.5770,917.5359,8.4706,0.5523,20.0,1.2,0.2576,0.0025
EXP2019,Thésée,Well-water,2,2,119.9,989.8220,921.0193,6.8385,0.5658,20.0,1.2,0.2112,0.0020
EXP2019,Thésée,Well-water,2,2,90.1,992.2010,923.6770,5.2056,0.5798,20.0,1.2,0.1607,0.0016
EXP2019,Thésée,Well-water,2,2,59.8,995.0000,925.8835,3.3092,0.5955,20.0,1.2,0.1002,0.0010
EXP2019,Thésée,Well-water,2,2,39.9,997.1170,919.0300,1.9944,0.6099,20.0,1.2,0.0513,0.0005
EXP2019,Thésée,Well-water,3,21,2000.0,363.5180,255.9252,27.7114,0.2477,20.9,1.2,0.4715,0.0052
EXP2019,Thésée,Well-water,3,21,1500.0,365.1870,264.1286,26.3461,0.3020,20.3,1.2,0.4798,0.0052
EXP2019,Thésée,Well-water,3,21,1000.1,368.2230,275.9833,23.8320,0.3889,20.0,1.2,0.4794,0.0052
EXP2019,Thésée,Well-water,3,21,500.1,374.8840,301.6986,18.4960,0.5212,19.9,1.2,0.4797,0.0052
EXP2019,Thésée,Well-water,3,21,199.9,385.9480,344.2987,9.4659,0.6080,20.0,1.2,0.4718,0.0052
EXP2019,Thésée,Well-water,3,21,150.0,388.6750,353.2057,7.4064,0.6290,20.0,1.2,0.4495,0.0050
EXP2019,Thésée,Well-water,3,21,120.1,390.6220,357.2615,6.0302,0.6461,20.0,1.2,0.3928,0.0044
EXP2019,Thésée,Well-water,3,21,89.8,393.0050,362.6834,4.3896,0.6609,20.0,1.2,0.3215,0.0037
EXP2019,Thésée,Well-water,3,21,59.8,395.6250,370.5181,2.6016,0.6760,20.0,1.2,0.2448,0.0028
EXP2019,Thésée,Well-water,3,21,39.9,397.3620,372.9930,1.5886,0.6906,20.0,1.2,0.1539,0.0018
EXP2019,Thésée,Well-water,3,21,999.9,370.2420,266.1483,22.5365,0.3815,20.0,1.2,0.3927,0.0043
EXP2019,Thésée,Well-water,3,21,1000.3,184.4310,130.8311,11.9717,0.3312,20.0,1.2,0.4048,0.0044
EXP2019,Thésée,Well-water,3,21,1000.0,93.4856,70.7029,5.1132,0.2845,20.0,1.2,0.4129,0.0045
EXP2019,Thésée,Well-water,3,21,999.9,48.2687,41.4265,1.4582,0.2526,20.0,1.2,0.4170,0.0046
EXP2019,Thésée,Well-water,3,21,999.9,370.3430,272.5895,22.3946,0.3708,20.0,1.2,0.4193,0.0046
EXP2019,Thésée,Well-water,3,21,1000.0,369.3630,268.3123,23.1422,0.3778,20.0,1.2,0.4178,0.0046
EXP2019,Thésée,Well-water,3,21,1000.0,369.2460,268.6627,23.2461,0.3829,20.0,1.2,0.4222,0.0046
EXP2019,Thésée,Well-water,3,21,1000.1,609.6150,478.6297,29.8126,0.3952,20.0,1.2,0.4242,0.0047
EXP2019,Thésée,Well-water,3,21,999.8,955.9090,811.8523,31.0616,0.3847,20.0,1.2,0.4184,0.0046
EXP2019,Thésée,Well-water,3,21,999.8,1452.7900,1293.9089,31.3913,0.3767,20.0,1.2,0.4041,0.0044
EXP2019,Thésée,Well-water,3,2,200.1,980.7270,875.9868,12.6184,0.5907,20.0,1.2,0.2419,0.0028
EXP2019,Thésée,Well-water,3,2,150.1,985.4310,884.7990,9.5234,0.6049,20.0,1.2,0.1902,0.0022
EXP2019,Thésée,Well-water,3,2,120.2,988.3430,884.0632,7.6374,0.6158,20.0,1.2,0.1451,0.0017
EXP2019,Thésée,Well-water,3,2,90.2,991.3390,889.4620,5.6419,0.6274,20.0,1.2,0.1098,0.0013
EXP2019,Thésée,Well-water,3,2,60.1,994.4050,905.8606,3.5217,0.6417,20.0,1.2,0.0813,0.0010
EXP2019,Thésée,Well-water,3,2,40.2,996.4330,928.5211,1.9860,0.6544,20.0,1.2,0.0651,0.0008
EXP2019,Thésée,Well-water,4,21,1999.9,361.5570,237.2005,28.2832,0.2816,20.0,1.2,0.4057,0.0037
EXP2019,Thésée,Well-water,4,21,1500.1,362.9850,239.5028,27.0785,0.3490,20.0,1.2,0.3909,0.0036
EXP2019,Thésée,Well-water,4,21,1000.0,365.9200,251.8530,24.8765,0.4423,20.0,1.2,0.3904,0.0036
EXP2019,Thésée,Well-water,4,21,500.1,373.4940,282.8408,19.0767,0.5610,20.0,1.2,0.3820,0.0035
EXP2019,Thésée,Well-water,4,21,200.0,385.4420,334.1112,9.9401,0.6244,20.0,1.2,0.3724,0.0035
EXP2019,Thésée,Well-water,4,21,149.8,388.4000,345.3340,7.7581,0.6418,20.0,1.2,0.3549,0.0033
EXP2019,Thésée,Well-water,4,21,119.9,390.4020,353.0473,6.2302,0.6546,20.0,1.2,0.3367,0.0032
EXP2019,Thésée,Well-water,4,21,89.9,392.6530,361.4637,4.6063,0.6662,20.0,1.2,0.3096,0.0029
EXP2019,Thésée,Well-water,4,21,60.0,395.0480,371.1697,2.8909,0.6774,20.0,1.2,0.2732,0.0026
EXP2019,Thésée,Well-water,4,21,39.8,396.8600,378.1163,1.6956,0.6863,20.0,1.2,0.2257,0.0022
EXP2019,Thésée,Well-water,4,21,1000.0,365.8830,252.0159,24.8975,0.4447,20.0,1.2,0.3919,0.0037
EXP2019,Thésée,Well-water,4,21,1000.1,183.0490,126.6562,12.4434,0.3940,20.0,1.2,0.3957,0.0036
EXP2019,Thésée,Well-water,4,21,1000.2,93.1110,69.5812,5.1960,0.3489,20.0,1.2,0.4012,0.0037
EXP2019,Thésée,Well-water,4,21,1000.0,48.4810,42.4204,1.2562,0.3186,20.0,1.2,0.4046,0.0038
EXP2019,Thésée,Well-water,4,21,1000.1,366.2440,256.8611,24.5285,0.4419,20.0,1.2,0.4035,0.0037
EXP2019,Thésée,Well-water,4,21,999.9,365.7620,254.0223,24.9409,0.4464,20.0,1.2,0.4011,0.0037
EXP2019,Thésée,Well-water,4,21,1000.0,365.7810,252.8214,24.9741,0.4497,20.0,1.2,0.3967,0.0037
EXP2019,Thésée,Well-water,4,21,1000.0,602.1880,443.9250,34.4296,0.4737,20.0,1.2,0.3938,0.0037
EXP2019,Thésée,Well-water,4,21,1000.0,945.2970,762.5962,38.2951,0.4696,20.0,1.2,0.3882,0.0036
EXP2019,Thésée,Well-water,4,21,1000.0,1442.1200,1241.6216,38.9703,0.4580,20.0,1.2,0.3722,0.0035
EXP2019,Thésée,Well-water,4,2,199.9,978.1650,869.9451,14.2244,0.6389,20.0,1.2,0.2549,0.0024
EXP2019,Thésée,Well-water,4,2,150.0,983.2890,885.5066,10.6604,0.6522,20.0,1.2,0.2145,0.0021
EXP2019,Thésée,Well-water,4,2,120.0,986.6290,894.9840,8.4775,0.6607,20.0,1.2,0.1837,0.0018
EXP2019,Thésée,Well-water,4,2,90.0,989.7800,906.7656,6.2387,0.6692,20.0,1.2,0.1517,0.0015
EXP2019,Thésée,Well-water,4,2,60.0,993.3200,928.6945,3.7573,0.6784,20.0,1.2,0.1256,0.0013
EXP2019,Thésée,Well-water,4,2,40.1,995.6480,946.3203,2.2450,0.6865,20.0,1.2,0.1091,0.0011
EXP2019,Thésée,Well-water,1,21,2000.0,362.8500,268.5308,29.2620,0.2557,25.0,1.5,0.5925,0.0080
EXP2019,Thésée,Well-water,1,21,1500.1,364.7950,272.5392,27.6897,0.3177,25.0,1.5,0.5738,0.0079
EXP2019,Thésée,Well-water,1,21,1000.2,368.3410,280.6349,24.7179,0.4067,25.0,1.5,0.5395,0.0074
EXP2019,Thésée,Well-water,1,21,500.2,375.6640,301.9835,18.5386,0.5340,25.0,1.5,0.4894,0.0068
EXP2019,Thésée,Well-water,1,21,200.0,386.6710,337.3508,9.5019,0.6157,25.0,1.5,0.4000,0.0057
EXP2019,Thésée,Well-water,1,21,149.8,390.1310,338.8247,7.0980,0.6373,25.0,1.5,0.2794,0.0040
EXP2019,Thésée,Well-water,1,21,119.9,392.5900,330.9228,5.5328,0.6526,25.0,1.5,0.1723,0.0025
EXP2019,Thésée,Well-water,1,21,90.2,394.8260,330.4906,3.9555,0.6679,25.0,1.5,0.1162,0.0017
